class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/onCollectionLoaded/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/onCollectionLoaded/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/onCollectionLoaded/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/registerExternalStorageListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/setMMButtonListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/setMMButtonListener//onClick/;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/showDialogFragment/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CramDeckOptions.java;2;8;1;;;;
/AnkiDroid/src/com/ichi2/anki/CramDeckOptions.java/CramDeckOptions;8;8;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CramDeckOptions.java/CramDeckOptions/DeckPreferenceHack;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CramDeckOptions.java/CramDeckOptions/DeckPreferenceHack/Editor;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CramDeckOptions.java/CramDeckOptions/JSONNameComparator;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CramDeckOptions.java/CramDeckOptions/registerExternalStorageListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CustomExceptionHandler.java;2;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckOptions.java;2;8;1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckOptions.java/DeckOptions;8;8;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckOptions.java/DeckOptions/DeckPreferenceHack;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckOptions.java/DeckOptions/DeckPreferenceHack/Editor;2;2;-1;;;;
